CODE_COUNTRY,ADJ_TONE,VAL
GNB,1.1797752808988764,1.0065698693906093
DMA,1.0,1.0100986997614632
NOR,1.1335227272727273,1.0065982115903906
NPL,1.1506196377502382,1.0075614005892979
GUY,1.0744580584354382,1.0052265689169437
KEN,1.1103150815118064,1.006478778843494
UGA,1.0818016227852294,1.0054002946428908
AND,2.0,1.00375760566151
DOM,1.2025547445255473,1.0067117969415595
NRU,1.0176470588235293,1.0079287322705404
KGZ,1.0405128205128205,1.0055821309431547
ARE,1.240307486631016,1.0062861090081503
KHM,1.0793460925039873,1.006556646619728
AFG,1.046839387878506,1.0042992258325414
ATG,1.1495327102803738,1.00492277782786
KIR,1.25,1.0052433352311811
NIU,0.0,0.0
AIA,1.5555555555555556,1.0101341015673526
COM,1.1666666666666667,1.00784544138089
REU,1.4482758620689655,1.005350531051881
ALB,1.0822683706070289,1.008766772633282
KNA,1.3571428571428572,1.006099331610385
ARM,1.0727193555410408,1.0052304890891248
NZL,1.2392032434338092,1.0069369884567125
PRK,1.0906544811320755,1.0088801286768543
DZA,1.0838562464346835,1.0070165695357878
AGO,1.1270236612702367,1.007594916080543
USA,1.1323991155483681,1.0068800374710143
KOR,1.128505309011707,1.0090396522611735
ARG,1.1387080620931398,1.0074573267581757
ASM,1.0,1.004034363187666
AUT,1.1168495803744352,1.0073410074724984
HKG,1.1693121693121693,1.0087892276475505
AUS,1.1629947405414576,1.0062669369927104
URY,1.1851851851851851,1.0057472351032684
YEM,1.0191054400768333,1.004661185466215
KWT,1.1019261637239166,1.0060087198595167
UZB,1.0502283105022832,1.0051250737055197
ROU,1.0858851674641148,1.014688582635791
ABW,1.096,1.0055896207111645
CYM,1.3,1.0068106735155447
HND,1.058641975308642,1.0050863500879228
ECU,1.11284046692607,1.0068903772984636
KAZ,1.1452074391988556,1.0088681820538454
ALA,1.0,1.0028007538972583
EST,1.2207171314741037,1.0104676665292356
AZE,1.0825568797399783,1.00500679082788
SRB,1.0818115412710008,1.0077805336008139
HRV,1.1168562564632885,1.0059455250135427
EGY,1.0657629602491299,1.0065144821091723
RUS,1.079091667660031,1.0074959548718916
VAT,1.2599118942731278,1.005332740402832
ESH,1.0,1.0069766355929999
HTI,1.0949602122015916,1.007495029060045
VCT,1.0,1.0050178478484912
HUN,1.1376224968044313,1.0045643201996146
RWA,1.0757014293276865,1.0049253958890438
LAO,1.1582142857142856,1.0072474675442038
OMN,1.1889204545454546,1.0057072172253496
LBN,1.0609943618657098,1.0059134469581412
LCA,1.0636942675159236,1.0037950303630103
VEN,1.0886227544910179,1.0088477042360613
BIH,1.0501193317422435,1.0068910282387937
BRB,1.2331838565022422,1.0045504623446384
VGB,1.3018867924528301,1.0065226994601286
BGD,1.0539842934812456,1.005568715251229
VIR,1.2613636363636365,1.004789691641422
BEL,1.079245885924269,1.006269278509198
MYT,1.0,1.0028007538972583
BFA,1.0948979591836734,1.0056556434615238
BGR,1.11986301369863,1.0092465067484893
ERI,1.0353460972017674,1.005249411245264
LIE,1.0,1.0043691760797229
ESP,1.1838570548367222,1.0070945706713574
BHR,1.0241625480505216,1.008444374947882
SAU,1.0527986456459635,1.0052404429883872
BDI,1.0366707869798104,1.0053857625915887
LKA,1.0960741763661472,1.0078688804930613
SLB,1.1014492753623188,1.0050829075037586
ETH,1.111353711790393,1.0072300700381265
BEN,1.1228346456692913,1.0060874649017117
VNM,1.132117812061711,1.006332260698443
SYC,1.271186440677966,1.0042506694981277
SDN,1.0458499641797154,1.005933132187738
SWE,1.1108507147879072,1.0062314800616894
BMU,1.2448979591836735,1.0090290777980016
IDN,1.0837702175125488,1.0081828460891409
SGP,1.3116964565694575,1.0069254520594284
IRL,1.1585109767737831,1.0068103029977478
BRN,1.3175675675675675,1.0100024740280473
BOL,1.0695553021664765,1.004880368055208
SHN,1.0,1.0058081411931588
SVN,1.2393939393939395,1.0080167031429514
LBR,1.1303630363036303,1.0062815345329121
SJM,1.625,1.0122393148159206
LSO,1.0635245901639345,1.0069515603476877
VUT,1.2522522522522523,1.0062564209446743
BES,1.16,1.0028007538972583
ZAF,1.1087733716868708,1.0061614063884499
LTU,1.1684867394695788,1.0102372229083496
BRA,1.074600626767561,1.0050209042038465
SVK,1.1153846153846154,1.0064662365346058
PAN,1.1161773891317925,1.0067564495053247
BHS,1.13676844783715,1.0060839785089093
LUX,1.386266094420601,1.0104076082421622
SLE,1.1420704845814977,1.0063853385050474
SMR,0.0,0.0
BTN,1.1849710982658959,1.0060662531669118
LVA,1.1731927710843373,1.0093867235966423
ISR,1.05463368816531,1.0068147248379977
SEN,1.113669914378506,1.0083944263576463
IMN,1.3690987124463518,1.005295579246763
SOM,1.0304581520348093,1.0047040773096867
LBY,1.0411352040816326,1.0053515376016362
BWA,1.2128851540616246,1.0055306540270124
PER,1.0966093822573153,1.0060634358011211
IND,1.1120752138168113,1.0083820079422499
PYF,1.1111111111111112,1.0078874033970446
BLR,1.0990213010938399,1.0082839815438593
SUR,1.0217391304347827,1.0044632660187396
PNG,1.0682170542635658,1.0066010974835289
IRQ,1.0408601318817319,1.0052579746656973
PHL,1.0834744605299098,1.0061235564239728
BLZ,1.0988654781199352,1.0046823515095147
